word,synset_1,synset_2,synset_3,synset_4,synset_5,synset_6,synset_7,synset_8,synset_9,synset_10,synset_11,synset_12,synset_13,synset_14,synset_15,synset_16,synset_17,synset_18,synset_19,synset_20,synset_21,synset_22,synset_23,synset_24,synset_25,synset_26,synset_27,synset_28,synset_29,synset_30,synset_31,synset_32,synset_33,synset_34,synset_35,synset_36,synset_37,synset_38,synset_39,synset_40,synset_41,synset_42,synset_43,synset_44,synset_45,synset_46,synset_47,synset_48,synset_49,synset_50,synset_51,synset_52,synset_53,synset_54,synset_55,synset_56,synset_57,synset_58,synset_59,synset_60,synset_61,synset_62,synset_63,synset_64,synset_65,synset_66,synset_67,synset_68,synset_69,synset_70,synset_71,synset_72,synset_73,synset_74,synset_75,synset_76,synset_77,synset_78,synset_79,synset_80,synset_81,synset_82,synset_83,synset_84,synset_85,synset_86,synset_87,synset_88,synset_89,synset_90,synset_91,synset_92,synset_93,synset_94,is_saved
diwethaf,olaf,terfynol,diweddar,blaenorol,y gair diwethaf,gorffenedig,y frenhines diwethaf,gorffen yn olaf,gorffen,diweddu,blwyddyn diwethaf,diweddaraf,marwolaeth,colli,casgliad,mis diwethaf,agos,cynt,dibennu,methu,pennaf,caeedig,y cartref diwethaf,cwblhau,darfod,diwedd,eithaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
diwrnod,dydd,cyfnod,undydd,adeg,dwthwn,dyddgwaith,amser,diwrnod,bore,pedair awr ar hugain,nos,deuddydd,diwrnod gwaith,hyd,beunydd,dyddiad,diwrnod agored,oes,eilddydd,dyddio,dyddiol,diwrnod haul,dyddiau,canol dydd,diwrnod hyfforddi,dechrau'r dydd,drannoeth,wythnos,heddiw,diwedd y dydd,24 awr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dod,cyrraedd,dyfod,agosau,treiddio,nesáu,nesaf,cyrraedd rhywle,symud,closio,dilyn,ymddangos yn rhywle,cyfagos,dŵad,ymddangos,gerllaw,dwad,dod i gasgliad,agosáu,dod i dermau â,dynesu,agos,dod i delerau â,blaenu,ar y ffordd,digwydd,cynyddu,glanio,nesau,teithio,mynd,crwydro,ergyd,cerdded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
drwg,gwael,anfoesol,cas,niweidiol,annuwiol,llygredig,ofnadwy,annerbyniol,andwyol,sbwriel,pechadurus,annymunol,sâl,rhad,tila,peryglus,diwerth,anghymeradwy,cras,siomedig,llym,anfoddhaol,erchyll,drygionus,anfedrus,esgeulus,anweddus,amherffaith,annigonol,trist,direidi,drygioni,drygionus,direidus,anfoesol,niwed,cythreuldeb,anfadrwydd,celwydd,camymddwyn,trygionus,malais,camymddygiad,cellwair,camwedd,dihirwch,cambyhafio,sbeit,hwyl ddiniwed,trychineb,difrodi,mileindra,chwareusrwydd,gwael,troseddu,gweithred ddrwg,twyll,bwriadol,atgasedd,annymunol,fandaliaeth,cas,niweidiol,anffawd,drwg,niweidio,pechadurus,trosedd,anfad,anfadwaith,andwyo,,,,,,,,,,,,,,,,,,,,,,,,0
dweud,siarad,mynegi,adrodd,ynganu,datgan,llefaru,cyfathrebu,lleisio,traethu,sgwrsio,gorchymyn,ymadrodd,sôn,honni,cyhoeddi,hawlio,cynanu,yngan,tybio,llais,rhoi gwybod,crybwyll,trafod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dydd,diwrnod,undydd,pedair awr ar hugain,cyfnod,amser,dwthwn,adeg,dyddgwaith,golau haul,ddoe,yfory,dydd gwaith,deuddydd,beunydd,dyddiad,echddoe,eilddydd,dyddio,trennydd,dyddiau,canol dydd,trannoeth,bore,prynhawn,drannoeth,dechrau'r dydd,heddiw,diwedd y dydd,24 awr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dynodi,arwyddo,dangos,golygu,mynegi,nodi,awgrymu,cyfleu,ysgrifennu,i ddangos,anodi,i nodweddu,enwebu,cyhoeddi,clustnodi,cyfeirio at,cynodi,datgan,i awgrymu,cynrychioli,i adlewyrchu,penu,i atgyfnerthu,bwriadu,ymhlygu,arwyddocâd,profi,cyfeirio,sillafu,pennu,pwyntio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dysgu,astudio,addysgu,meistroli,hyfforddi,deall,myfyrio,llyfrau,ymarfer,darganfod,dod i wybod,dod i ddeall,datrys,derbyn gwybodaeth,diwyllio,hyfforddiant,meistrioli,ymroi i ymarfer,amgyffred,rhoi addysg,sylweddoli,cymathu,dod yn fedrus,rheoli,ymgyfarwyddo,meithrin,gwybodaeth,cyfarwyddo,gwaith,ennill gwybodaeth,gwybod,tasg,adolygu,ysgol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
edrych,gwylio,syllu,craffu,gweld,sbio,tremu,llygadrythu,cipolwg,bwrw golwg,llygadu,archwilio,golwg,bwrw golwg ar,sylwi,tremio,disgwyl,ysbio,edmygu,sylweddoli,trem,edrychiad,wynebu,yli,ceisio gweld,defnyddio'r llygaid,ymddangos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
egwyddor,sail,sylfaen,cynsail,hanfod,teg,argyhoeddiad,cred,egwyddorol,moes,moeseg,maesau,gosodiad,craidd,athrawiaeth,uniondeb,deddf,cod,rheswm,gwir,elfen,gwirionedd,moesoldeb,rheol,tybiaeth,moesol,dogma,rhinwedd,cyfiawn,gonest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
eisiau,dymuno,angen,awydd,chwant,awchu,isio,awydd i,cais,ymofyn,efryn,llwgu,prinder,ysfa i,blysio,dymuno cael,eisiau gwaith,hiraethu,eisiau bwyd,crefu,gobeithio,gofyn,eisiau diod,hiraeth,ffansio,tlodi,amddifadedd,absenoldeb,newyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
elusen,cardod,haelioni,sefydliad,rhodd,mudiad,caredigrwydd,lloches,achos da,mudiad elusennol,ail law,rhodd i'r tlawd,cyfraniad,cronfa,elusengarwch,gweithred dda o drugaredd,cyfrannu,cymwynasgarwch,ariannu,menter,rhoddi,haelfrydig,nawdd,cymorth,lles,dyngarwch,rhoi,tosturi,nodi,cymwynas,cefnogaeth,tlodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
enw,cyfenw,galw,enw cyntaf,llysenw,enwi,teitl,term,rhywbeth,enwad,dodi enw ar,cydnabod,hunaniaeth,person,ffugenw,ail enw,unigryw,gwreiddiol,adnabod,ffug enw,enw olaf,rhywun,enw bedydd,bedyddio,dyfynnu,canfod,bedydd,unigoliaeth,dodi enw,enwebu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ffordd,heol,lôn,priffordd,llwybr,lon,stryd,cwrs,traffordd,wtra,angorfa,lon gefn,beidr,mynedfa,rhewl,ffurf,dwyffordd,tramwyfa,taith,trac,cyfeiriad,dull,modd,siwrne,pellter,medir,modd,dull,agwedd,arfer,ffurf,osgo,ymarweddiad,arferiad,cynllun,arddull,proses,ymarferiad,ymddygiad,diwyg,gwedd,ffordd o fod,trefn,cyfle,cyfarwyddiadau,cyfrwng,ymagweddiad,ymddangosiad,moesau,patrwm,hunaniaeth,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gadael,mynd,ymadael,symud,encilio,ffarwelio,ffoi,ymddeol,diflannu,dianc,denig,afiaith,codi pac,cymynrodd,hedfan y nyth,cefnu,cymynnu,cychwyn,crwydro,hedfan,gwyliau,cefnu ar,darfod,caniatad,mynd ymaith,diardddel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gair,neges,sgwrs,addewid,geiryn,siarad,geirio,rhan o frawddeg,araith,cyfarchiad,brawddeg,sain,llw,ymddiddan,gair benthyg,enw,adduned,dywediad,term,gair gorchmynnol,newydd,addo,tafodiaith,gwarantu,iaith,cyhoeddiad,annerchiad,trafodaeth,acen,mynegiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gallu,medru,abl,galluog,cymwys,cael,ar gael i,addas,gwybod,yn rhydd i,bod,ar gael,bod yn abl,yn fodlon,medrus,o gwmpas,capasiti,digonol,rhydd,sut,yn awyddus i,cyfleus,yn,yn hyderus i,chwannog,hwylus,gallu,priodol,tueddol,abledd,medr,cymhwysedd,medrusrwydd,abl,medrus,hyfedredd,yn gymwys,arbenigedd,galluog,galluoedd,sgil,atebol,parod,cymhwyster,digonol,gallu,nerth,profiadol,medru,priodoldeb,meddu'r grym,gwedduster,sgiliau,cymwys,dawn,tueddfryd,grym,effeithiolrwydd,addasrwydd,awdurdod,pwer,deheurwydd,galluedd,cryfder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gofyn,cwestiynu,holi,ymholi,herio,erchi,ymofyn,galw,amau,gofyniad,ceisio,cais,bwrw amheuaeth,ymbil,sialensio,ymorol,ansicr,ymchwilio,ymgynhori,ansicrwydd,dymuno,gwahodd,erfyn,chwilfrydedd,apelio,croesholi,cwestiynnu,mynnu,ymgais,cais,erfyn,galw,ceisio,deisyfiad,ymbil,apelio,ymholiad,appelio,gofyn am rywbeth,dymuniad,dymuno,erfyn ar rywun am rywbeth,galw am,galw am rywbeth,gwahoddiad,ymgais,deisebu,pleidio,awydd,apêl,gofyniad,gofyn caniatâd,gorchymyn,eiriol,angen,eisiau,prinder,gwahodd,arch,archeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gorfod,rhwymedigaeth,gorfodaeth,rheidrwydd,cyfrifoldeb,rhaid,dyletswydd,angen,ymrwymiad,cytundeb,anghenraid,atebolrwydd,contract,dodi rhywun i,dyled,cymhelliad,swydd,gorfod,baich,cyfrifodeb,rhaid,gorfodaeth,dyletswydd,rheidrwydd,rhwymedigaeth,angen,arddodi,anghenraid,dyled,gorfod,angenrheidiol,cyfrifoldeb,hanfodol,gordd,bod dan rwymedigaeth,cymhelliad,rôl,ymrwymiad,angenrheidrwydd,diolchgarwch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwahanol,annhebyg,amrywiol,unigryw,anghyffelyb,anghyffredin,rhyfedd,gwrthgyferbyniol,cyferbyniol,arall,dieithr,amgen,eraill,cyferbyniad,amryw,ddim yn debyg,anghonfensiynol,unigol,eithriadol,anghyfarwydd,cyferbynniol,anghydffurfiol,newydd,rhyfeddol,gwahaniaethadwy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwahodd,croesawu,denu,cynnig,dymuno,gofyn,estyn gwahoddiad,gwadd,cyfarfod,gwahodd rhywun i,galw,croeso,gofyn i rhywun ddod,annog rhywun i ddod,annog,cais,gwahoddiad,mynnu rhywun i ddod,perswadio rhywun i ddod,apelio,erfyn,cynnig i rhywun ddod,cyfarch,atynnu,derbyn,galwad,perswadio,deisyfu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwaith,llafur,swydd,bywoliaeth,tasg,galwedigaeth,gorchwyl,dyletswydd,masnach,gweithio,cyflogaeth,labro,gyrfa,gweithiwr,llafurio,gweithwyr,ymdrech,gweithle,swyddogaeth,baich,gweithred,gweithfan,gweithdy,gweithgaredd,proffesiwn,cynhaliaeth,busnes,crefft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwasanaeth,oedfa,dyletswydd,cymorth,cynhaliaeth,gwaith,cwrdd,swydd,gwasanaeth meddygol,cyfarfod,gwasanaeth angladdol,help,gwasanaeth boreol,cymwynas,gwasanaeth caled,darpariaeth,cymanfa,serfiad,gwasanaethu,gwasanaeth crefyddol,ymgynnull,busnes,addoliad cyhoeddus,gwasanaeth cyhoeddus,pregeth,defnydd,gweini,gwasanaeth cymdeithasol,serf,cynhorthwy,addoliad,gwybodaeth,lles,gwasanaeth darlledu,cynulliad,gwasanaeth gwladol,adnodd,gwasanaeth iechyd,ufudd-dod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwefan,tudalen,rhwydwaith,gwybodaeth,rhyngrwyd,fforwm,tudalen we,cronfa data,safle wê,safle gwe,rhyngrhwyd,gwe,we fyd-eang,platfform cymdeithasol,gwefannau cymdeithasol,dolen,gweinydd,busnes,llwyfan cymdeithasol,peiriant chwilio,cyfryngau,porwr gwe,cysylltiad,cwmni,safle,ar-lein,cysylltu,gwefan bersonol,arbenigedd,archwilio,gwefan busnes,gwefan blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gweithio,llafurio,gweithredu,labro,ymdrechu,gwneud gwaith,gorchwyl,gweithio'n effeithiol,cyflogedig,dyletswydd,tasg,gwneud,gweithio'n effeithlon,gwasanaethu,cyfiawnhau,masnach,gweithgaredd,cydweithio,dyletswyddau,rheoli,gweithiwr,dygnu arni,diwydiant,cynhyrchu,ymdrech,asesiad,swyddi,gweithle,rhedeg,llwyddo,gweithiwr cyflogedig,rhwymedigaeth,ymlafnio,perfformiad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gweld,edrych,canfod,sylweddoli,gweled,arsylwi,gwylio,cip,sylwi,esgobaeth,adnabod,chwilio,dychmygu,amgyffred,deall,cipolwg,dallt,craffu,trem,cadw llygad ar,ystyried,dirnad,syllu,golwg,sbecian,goruchwylio,ymchwilio,ymweld,darganfod,sbio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwlad,cenedl,gwladwriaeth,tir,teyrnas,tiriogaeth,bro,cartref,cefn gwlad,ardal,daear,brodir,talaith,cymuned,gwledig,pobl,mamwlad,gwladaidd,tud,gwladgarwch,hunaniaeth,sir,daearyddiaeth,diwylliant,cendlaeth,brenhiniaeth,tywysoageth,arglwyddiaeth,baner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwneud,gweithredu,cyflawni,cynhyrchu,ymgymryd,dyfeisio,creu,saernio,llunio,cwblhau,cyfansoddi,llwyddo,cyflawni rhywbeth,ffurfio,gwireddu,ennill,cwblhau rhywbeth,paratoi,rhoi mewn grym,gorffen,creu rhywbeth,gwario amser,cynhyrchu rhywbeth,adeiladu,peri,paratoi rhywbeth,ymgymryd â rhywbeth,derbyniad,codi,dad-wneud,achosi,trin,ffug,artiffisial,annaturiol,anwir,synthetig,gosod,dosbarthiad gwneud,defnydd,porthladd gwneud,deallusrwydd artiffisial,llwgr,dannedd gosod,deunydd,anwiredd,gwneuthuredig,sidan gwneud,drwg,gwneuthuriedig,cyfansoddiadol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwreiddiol,sylfaenol,cychwynnol,unigryw,cyntaf,dechreuol,cyntefig,cynharaf,ffres,cysefin,hanfodol,newydd,arloesol,hen,creadigol,dilys,gwerthfawr,dychmygus,cynnar,anghonfensiynol,blaen,dyfeisgar,tarddiad,dechreuad,gwraidd,ffynhonnell,gwreiddyn,cynhenid,tarddle,brodorol,cychwyniad,haniad,man cychwyn,cysefin,achos dechreuol,cartref,tarddbwynt,genedigath,cenedl,mebyd,gwawr,cychwyn,yn enedigol o,llinach,cyntaf,perthynas,yn hanu o,dylanwad,sylfaen,deilliad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwybod,adnabod,deall,amgyffred,sylweddoli,gweld,dirnad,ymwybodol,gwybodus,cydnabod,medru,dysgu,canfod,bod yn gyfarwydd â,dealltwriaeth,profi,ar gof,medrus,sylwi,synied,teimlo,meddu ar wybodaeth,arddel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwybodaeth,ffeithiau,data,manylion,dealltwriaeth,gwybodus,ffaith,cyngor,amgyffrediad,cyfarwyddiadau,llenyddiaeth,deallus,tystiolaeth,hysbysrwydd,adroddiad,dealltwraeth,canfyddiad,gwirionedd,esboniadol,neges,canolfan wybodaeth,adrodd,synnwyr,astudiaeth,cywirdeb,hysbysebiad,adnabyddiaeth,hysbysiad,cyhoeddi,swynnwyr,amgyffred,dysgu,cydnabyddiaeth,dirnad,addysg,addysgiadol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gwych,ardderchog,rhagorol,campus,da,canmoladwy,ysblennydd,penigamp,brenhinol,dethol,godidog,bendigedig,gret,rhyfeddol,gwiw,eithriadol,da iawn,llwyddiannus,odiaeth,mawreddog,teg,ffantastig,ysblenydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
hanes,gorffennol,chwedl,stori,cefndir,cofnod,hanes teuluol,cyfnod,hanesyddiaeth,hanesydd,hanes achos,oes,hanesyddol,adroddiad,cyfrif,traddodiad,hanes crefyddau,erthygl,crynodeb,llyfr hanes,hanes cymdeithasol,portread,perthynas,cronicl,hanes amaethyddiaeth,digywddiad o'r gorffennol,datganiad,hanesyn,hanes eglwysig,cyfarwyddyd,hanes sefydliadau,hanes y gyfraith,hanes ardal,hanesiaeth,digwyddiad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
hapus,llawen,bodlon,dedwydd,siriol,llon,hwyliog,cyffrous,cysurus,mewn hwyliau da,dymunol,wrth ei fodd,diddig,ffodus,diddan,balch,gwynfedig,diwarafun,gwynfydedig,gwyn ei fyd,braf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
hawdd,syml,rhwydd,diymdrech,hwylus,didrafferth,anffurfiol,cyfleus,didraffaerth,amlwg,dirwystr,diffwdan,hydrin,hygyrch,di-boen,esmwyth,anghymhleth,heb fod yn galed,cyraeddadwy,parod,dilestair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
helpu,cynorthwyo,cefnogi,cymorth,argymell,cymorthi,rhoi cymorth i,rhoi cyngor i,cyngori,rhwyddhau,cyfrannu,rhoi arweiniad i,cyd-dynnu,lleddfu,help llaw,cysuro,bod yn gefn,ategu,rhoi cymorth,cyfarwyddo,arweiniad,lliniaru,rhoi cefnogaeth i,cynghori,rhoi help llaw,arwain,bod yn llesol,hwyluso,bod o fudd,hyfforddi,gwasnaeth,gwasanaeth,cefnogaeth,hwylsuo,nerthu,calonogi,budd,cynhaliaeth,estyn cymorth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
hen,hynafol,oedrannus,henaidd,aeddfed,hŷn,henffasiwn,llwyd,cyntefig,henaint,cyfarwydd,wedi aeddfedu,oedran,gwreiddiol,heneiddio,euddfed,traddodiadol,hybarch,gwybodus,wedi hir-wreiddio,llegach,sefydlog,blinedig,doeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
heol,stryd,ffordd,lôn,llwybr,rhodfa,trac,priffordd,mynedfa,lon,pafin,cwrs,tramwyfa,beidr,palmant,heol gefn,heol,modd,heol fawr,traffordd,heol gart,dull,wtra,teithio,troedffordd,pellter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
hir,maith,hirfaith,hirwyntog,mawr,pell,llaes,tal,araf,hyd,mesuriad,hirlaes,am amser maith,llawer o amser,llydan,taith hir,hiraethu,amser hir,hwyr,ehangedig,estyngedig,estynedig,cwmpasog,mawr ei hyd,mwy na'r cyffredin,dyheu,diderfyn,uchel,diddiwedd,dwfn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
hoffi,licio,mwynhau,caru,bod yn hoff o,joio,parchu,barn,edmygu,addoli,ymfalchio,gwerthfawrogi,ymhyfrydu yn,ffafrio,serchu,edmygu rhywbeth,dymuno,caru rhywbeth,pleserus,parchu rhywbeth,ffansio,anrhydeddu,rhyfeddu,pleseru,cael pleser,angerdd,chwant,anwylo,wrth ei fodd,ymhyfrydu,serch,teimlad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
hwylus,cyfleus,hylaw,hawdd,rhwydd,didrafferth,ar bwys,ar gael,cyfagos,cyfaddas,gerllaw,hygyrch,addas,o fewn cyrraedd,ffafriol,agos,pwrpasol,cyffyrddus,dymunol,gweddus,defnyddiol,cynorthwyol,parod,ger,wrth,iachus,iach,cryf,diglefyd,llesol,holliach,heini,bywiog,abl,bodlon,da,maethlon,egnïol,actif,grymus,balch,athletaidd,yn gwbl iach,gweithredol,egniol,digeflyd,normal,diymdrech,hawdd,llyfn,esmwyth,da,sefydlog,slic,hawdd ei ddefnyddio,braf,dirwystr,didrafferth,llwyddiannus,hyfryf,hawdd ei drin,rhwydd,cyson,llifo,heddychlon,cyfleus,heb fawr o drafferth,gwelliant,iawn,llonydd,digyffro,llifol,ffafriol,defnyddiol,effeithiol,di-ddigwyddiad,dymunol,graenus,tawel,,,,,,,,,,,,,,,,,0
